	img	cm	label
CN62_E2_10.035x14.159	../dataset/tile\CN62_E2\CN62_E2-10.035-14.159.jpeg	CN62_E2_10.035x14.159	p100
CN62_E2_10.035x17.116	../dataset/tile\CN62_E2\CN62_E2-10.035-17.116.jpeg	CN62_E2_10.035x17.116	p100
CN62_E2_10.037x15.13	../dataset/tile\CN62_E2\CN62_E2-10.037-15.13.jpeg	CN62_E2_10.037x15.13	p100
CN62_E2_10.037x16.116	../dataset/tile\CN62_E2\CN62_E2-10.037-16.116.jpeg	CN62_E2_10.037x16.116	p100
CN62_E2_10.048x21.173	../dataset/tile\CN62_E2\CN62_E2-10.048-21.173.jpeg	CN62_E2_10.048x21.173	p100
CN62_E2_10.051x20.109	../dataset/tile\CN62_E2\CN62_E2-10.051-20.109.jpeg	CN62_E2_10.051x20.109	p100
CN62_E2_10.058x18.125	../dataset/tile\CN62_E2\CN62_E2-10.058-18.125.jpeg	CN62_E2_10.058x18.125	p100
CN62_E2_10.058x19.128	../dataset/tile\CN62_E2\CN62_E2-10.058-19.128.jpeg	CN62_E2_10.058x19.128	p100
CN62_E2_11.027x20.116	../dataset/tile\CN62_E2\CN62_E2-11.027-20.116.jpeg	CN62_E2_11.027x20.116	p100
CN62_E2_11.033x15.154	../dataset/tile\CN62_E2\CN62_E2-11.033-15.154.jpeg	CN62_E2_11.033x15.154	p100
CN62_E2_11.039x16.137	../dataset/tile\CN62_E2\CN62_E2-11.039-16.137.jpeg	CN62_E2_11.039x16.137	p100
CN62_E2_11.042x18.11	../dataset/tile\CN62_E2\CN62_E2-11.042-18.11.jpeg	CN62_E2_11.042x18.11	p100
CN62_E2_11.056x17.139	../dataset/tile\CN62_E2\CN62_E2-11.056-17.139.jpeg	CN62_E2_11.056x17.139	p100
CN62_E2_11.056x19.129	../dataset/tile\CN62_E2\CN62_E2-11.056-19.129.jpeg	CN62_E2_11.056x19.129	p100
CN62_E2_11.082x21.149	../dataset/tile\CN62_E2\CN62_E2-11.082-21.149.jpeg	CN62_E2_11.082x21.149	p100
CN62_E2_2.199x14.226	../dataset/tile\CN62_E2\CN62_E2-2.199-14.226.jpeg	CN62_E2_2.199x14.226	p100
CN62_E2_2.205x13.249	../dataset/tile\CN62_E2\CN62_E2-2.205-13.249.jpeg	CN62_E2_2.205x13.249	p100
CN62_E2_2.205x17.211	../dataset/tile\CN62_E2\CN62_E2-2.205-17.211.jpeg	CN62_E2_2.205x17.211	p100
CN62_E2_2.211x15.213	../dataset/tile\CN62_E2\CN62_E2-2.211-15.213.jpeg	CN62_E2_2.211x15.213	p100
CN62_E2_2.228x16.208	../dataset/tile\CN62_E2\CN62_E2-2.228-16.208.jpeg	CN62_E2_2.228x16.208	p100
CN62_E2_3.143x11.232	../dataset/tile\CN62_E2\CN62_E2-3.143-11.232.jpeg	CN62_E2_3.143x11.232	p100
CN62_E2_3.151x14.204	../dataset/tile\CN62_E2\CN62_E2-3.151-14.204.jpeg	CN62_E2_3.151x14.204	p100
CN62_E2_3.151x16.188	../dataset/tile\CN62_E2\CN62_E2-3.151-16.188.jpeg	CN62_E2_3.151x16.188	p100
CN62_E2_3.154x13.221	../dataset/tile\CN62_E2\CN62_E2-3.154-13.221.jpeg	CN62_E2_3.154x13.221	p100
CN62_E2_3.158x15.203	../dataset/tile\CN62_E2\CN62_E2-3.158-15.203.jpeg	CN62_E2_3.158x15.203	p100
CN62_E2_3.159x12.242	../dataset/tile\CN62_E2\CN62_E2-3.159-12.242.jpeg	CN62_E2_3.159x12.242	p100
CN62_E2_3.171x18.197	../dataset/tile\CN62_E2\CN62_E2-3.171-18.197.jpeg	CN62_E2_3.171x18.197	p100
CN62_E2_3.174x17.194	../dataset/tile\CN62_E2\CN62_E2-3.174-17.194.jpeg	CN62_E2_3.174x17.194	p100
CN62_E2_4.107x18.185	../dataset/tile\CN62_E2\CN62_E2-4.107-18.185.jpeg	CN62_E2_4.107x18.185	p100
CN62_E2_4.11x15.188	../dataset/tile\CN62_E2\CN62_E2-4.11-15.188.jpeg	CN62_E2_4.11x15.188	p100
CN62_E2_4.112x13.204	../dataset/tile\CN62_E2\CN62_E2-4.112-13.204.jpeg	CN62_E2_4.112x13.204	p100
CN62_E2_4.113x11.23	../dataset/tile\CN62_E2\CN62_E2-4.113-11.23.jpeg	CN62_E2_4.113x11.23	p100
CN62_E2_4.113x14.185	../dataset/tile\CN62_E2\CN62_E2-4.113-14.185.jpeg	CN62_E2_4.113x14.185	p100
CN62_E2_4.115x17.186	../dataset/tile\CN62_E2\CN62_E2-4.115-17.186.jpeg	CN62_E2_4.115x17.186	p100
CN62_E2_4.117x16.199	../dataset/tile\CN62_E2\CN62_E2-4.117-16.199.jpeg	CN62_E2_4.117x16.199	p100
CN62_E2_4.12x12.216	../dataset/tile\CN62_E2\CN62_E2-4.12-12.216.jpeg	CN62_E2_4.12x12.216	p100
CN62_E2_4.133x19.187	../dataset/tile\CN62_E2\CN62_E2-4.133-19.187.jpeg	CN62_E2_4.133x19.187	p100
CN62_E2_5.084x11.23	../dataset/tile\CN62_E2\CN62_E2-5.084-11.23.jpeg	CN62_E2_5.084x11.23	p100
CN62_E2_5.098x17.192	../dataset/tile\CN62_E2\CN62_E2-5.098-17.192.jpeg	CN62_E2_5.098x17.192	p100
CN62_E2_5.103x14.209	../dataset/tile\CN62_E2\CN62_E2-5.103-14.209.jpeg	CN62_E2_5.103x14.209	p100
CN62_E2_5.104x16.199	../dataset/tile\CN62_E2\CN62_E2-5.104-16.199.jpeg	CN62_E2_5.104x16.199	p100
CN62_E2_5.105x13.212	../dataset/tile\CN62_E2\CN62_E2-5.105-13.212.jpeg	CN62_E2_5.105x13.212	p100
CN62_E2_5.108x12.222	../dataset/tile\CN62_E2\CN62_E2-5.108-12.222.jpeg	CN62_E2_5.108x12.222	p100
CN62_E2_5.108x18.213	../dataset/tile\CN62_E2\CN62_E2-5.108-18.213.jpeg	CN62_E2_5.108x18.213	p100
CN62_E2_5.109x15.21	../dataset/tile\CN62_E2\CN62_E2-5.109-15.21.jpeg	CN62_E2_5.109x15.21	p100
CN62_E2_5.126x19.157	../dataset/tile\CN62_E2\CN62_E2-5.126-19.157.jpeg	CN62_E2_5.126x19.157	p100
CN62_E2_5.131x20.176	../dataset/tile\CN62_E2\CN62_E2-5.131-20.176.jpeg	CN62_E2_5.131x20.176	p100
CN62_E2_6.028x20.119	../dataset/tile\CN62_E2\CN62_E2-6.028-20.119.jpeg	CN62_E2_6.028x20.119	p100
CN62_E2_6.05x13.197	../dataset/tile\CN62_E2\CN62_E2-6.05-13.197.jpeg	CN62_E2_6.05x13.197	p100
CN62_E2_6.057x12.211	../dataset/tile\CN62_E2\CN62_E2-6.057-12.211.jpeg	CN62_E2_6.057x12.211	p100
CN62_E2_6.061x11.237	../dataset/tile\CN62_E2\CN62_E2-6.061-11.237.jpeg	CN62_E2_6.061x11.237	p100
CN62_E2_6.067x15.187	../dataset/tile\CN62_E2\CN62_E2-6.067-15.187.jpeg	CN62_E2_6.067x15.187	p100
CN62_E2_6.069x14.204	../dataset/tile\CN62_E2\CN62_E2-6.069-14.204.jpeg	CN62_E2_6.069x14.204	p100
CN62_E2_6.071x22.161	../dataset/tile\CN62_E2\CN62_E2-6.071-22.161.jpeg	CN62_E2_6.071x22.161	p100
CN62_E2_6.074x19.147	../dataset/tile\CN62_E2\CN62_E2-6.074-19.147.jpeg	CN62_E2_6.074x19.147	p100
CN62_E2_6.076x21.174	../dataset/tile\CN62_E2\CN62_E2-6.076-21.174.jpeg	CN62_E2_6.076x21.174	p100
CN62_E2_6.082x16.189	../dataset/tile\CN62_E2\CN62_E2-6.082-16.189.jpeg	CN62_E2_6.082x16.189	p100
CN62_E2_6.082x18.176	../dataset/tile\CN62_E2\CN62_E2-6.082-18.176.jpeg	CN62_E2_6.082x18.176	p100
CN62_E2_6.091x17.172	../dataset/tile\CN62_E2\CN62_E2-6.091-17.172.jpeg	CN62_E2_6.091x17.172	p100
CN62_E2_7.075x13.207	../dataset/tile\CN62_E2\CN62_E2-7.075-13.207.jpeg	CN62_E2_7.075x13.207	p100
CN62_E2_7.078x12.236	../dataset/tile\CN62_E2\CN62_E2-7.078-12.236.jpeg	CN62_E2_7.078x12.236	p100
CN62_E2_7.078x18.189	../dataset/tile\CN62_E2\CN62_E2-7.078-18.189.jpeg	CN62_E2_7.078x18.189	p100
CN62_E2_7.082x16.192	../dataset/tile\CN62_E2\CN62_E2-7.082-16.192.jpeg	CN62_E2_7.082x16.192	p100
CN62_E2_7.083x19.16	../dataset/tile\CN62_E2\CN62_E2-7.083-19.16.jpeg	CN62_E2_7.083x19.16	p100
CN62_E2_7.086x15.204	../dataset/tile\CN62_E2\CN62_E2-7.086-15.204.jpeg	CN62_E2_7.086x15.204	p100
CN62_E2_7.087x14.224	../dataset/tile\CN62_E2\CN62_E2-7.087-14.224.jpeg	CN62_E2_7.087x14.224	p100
CN62_E2_7.091x11.234	../dataset/tile\CN62_E2\CN62_E2-7.091-11.234.jpeg	CN62_E2_7.091x11.234	p100
CN62_E2_7.099x17.186	../dataset/tile\CN62_E2\CN62_E2-7.099-17.186.jpeg	CN62_E2_7.099x17.186	p100
CN62_E2_7.099x21.165	../dataset/tile\CN62_E2\CN62_E2-7.099-21.165.jpeg	CN62_E2_7.099x21.165	p100
CN62_E2_7.106x20.183	../dataset/tile\CN62_E2\CN62_E2-7.106-20.183.jpeg	CN62_E2_7.106x20.183	p100
CN62_E2_8.062x13.197	../dataset/tile\CN62_E2\CN62_E2-8.062-13.197.jpeg	CN62_E2_8.062x13.197	p100
CN62_E2_8.068x14.203	../dataset/tile\CN62_E2\CN62_E2-8.068-14.203.jpeg	CN62_E2_8.068x14.203	p100
CN62_E2_8.069x15.184	../dataset/tile\CN62_E2\CN62_E2-8.069-15.184.jpeg	CN62_E2_8.069x15.184	p100
CN62_E2_8.07x12.217	../dataset/tile\CN62_E2\CN62_E2-8.07-12.217.jpeg	CN62_E2_8.07x12.217	p100
CN62_E2_8.07x17.181	../dataset/tile\CN62_E2\CN62_E2-8.07-17.181.jpeg	CN62_E2_8.07x17.181	p100
CN62_E2_8.076x16.182	../dataset/tile\CN62_E2\CN62_E2-8.076-16.182.jpeg	CN62_E2_8.076x16.182	p100
CN62_E2_8.076x19.159	../dataset/tile\CN62_E2\CN62_E2-8.076-19.159.jpeg	CN62_E2_8.076x19.159	p100
CN62_E2_8.083x18.2	../dataset/tile\CN62_E2\CN62_E2-8.083-18.2.jpeg	CN62_E2_8.083x18.2	p100
CN62_E2_8.092x20.187	../dataset/tile\CN62_E2\CN62_E2-8.092-20.187.jpeg	CN62_E2_8.092x20.187	p100
CN62_E2_8.1x21.146	../dataset/tile\CN62_E2\CN62_E2-8.1-21.146.jpeg	CN62_E2_8.1x21.146	p100
CN62_E2_8.105x22.185	../dataset/tile\CN62_E2\CN62_E2-8.105-22.185.jpeg	CN62_E2_8.105x22.185	p100
CN62_E2_9.119x17.131	../dataset/tile\CN62_E2\CN62_E2-9.119-17.131.jpeg	CN62_E2_9.119x17.131	p100
CN62_E2_9.135x14.179	../dataset/tile\CN62_E2\CN62_E2-9.135-14.179.jpeg	CN62_E2_9.135x14.179	p100
CN62_E2_9.142x15.162	../dataset/tile\CN62_E2\CN62_E2-9.142-15.162.jpeg	CN62_E2_9.142x15.162	p100
CN62_E2_9.148x18.152	../dataset/tile\CN62_E2\CN62_E2-9.148-18.152.jpeg	CN62_E2_9.148x18.152	p100
CN62_E2_9.15x16.149	../dataset/tile\CN62_E2\CN62_E2-9.15-16.149.jpeg	CN62_E2_9.15x16.149	p100
CN62_E2_9.154x13.209	../dataset/tile\CN62_E2\CN62_E2-9.154-13.209.jpeg	CN62_E2_9.154x13.209	p100
CN62_E2_9.158x21.149	../dataset/tile\CN62_E2\CN62_E2-9.158-21.149.jpeg	CN62_E2_9.158x21.149	p100
CN62_E2_9.162x19.134	../dataset/tile\CN62_E2\CN62_E2-9.162-19.134.jpeg	CN62_E2_9.162x19.134	p100
CN62_E2_9.173x20.21	../dataset/tile\CN62_E2\CN62_E2-9.173-20.21.jpeg	CN62_E2_9.173x20.21	p100
CN63_E2_13.014x8.984	../dataset/tile\CN63_E2\CN63_E2-13.014-8.984.jpeg	CN63_E2_13.014x8.984	p100
CN63_E2_13.029x9.948	../dataset/tile\CN63_E2\CN63_E2-13.029-9.948.jpeg	CN63_E2_13.029x9.948	p100
CN63_E2_13.042x13.927	../dataset/tile\CN63_E2\CN63_E2-13.042-13.927.jpeg	CN63_E2_13.042x13.927	p100
CN63_E2_13.053x11.95	../dataset/tile\CN63_E2\CN63_E2-13.053-11.95.jpeg	CN63_E2_13.053x11.95	p100
CN63_E2_13.055x10.946	../dataset/tile\CN63_E2\CN63_E2-13.055-10.946.jpeg	CN63_E2_13.055x10.946	p100
CN63_E2_13.994x6.944	../dataset/tile\CN63_E2\CN63_E2-13.994-6.944.jpeg	CN63_E2_13.994x6.944	p100
